quarter_text,nuevas,reinversion,entre_cias,inversion,exportaciones,estado,cuenta,horas_prom,ittae,salario,medsup,hom_pc,rob_pc,secext_pc,_menos1sm
2009-1,242.76791,-25.680548,359.33594,576.42334,5258.9102,Chihuahua,9,43.200001,81.488327,222.68666,0.2213662,0.21435243,2.9227517,0.027407108,0.044
2009-1,473.44,610.11865,166.48105,1250.0397,563.55701,Ciudad de México,129,43.700001,82.174332,318.11334,0.37271008,0.03970796,2.7178759,0.027996342,0.063000001
2009-1,115.65429,19.335783,29.054691,164.04477,3176.1831,Coahuila,6,42.099998,74.266151,221.02333,0.23851158,0.050563751,1.7444494,0.00183202,0.103
2009-1,54.387508,0.93129599,5.7554321,61.074234,17.127001,Colima,2,42.200001,81.720474,200.67667,0.23810083,0.051592004,1.1350241,0,0.102
2009-1,8.4187937,3.8302929,13.028593,25.277679,195.73599,Durango,1,44.200001,82.644386,180.42667,0.19842221,0.20338483,1.1307953,0.00730724,0.10399999
2009-1,141.6403,237.44727,152.13084,531.21838,1740.505,Estado de México,22,45.799999,78.840973,241.25667,0.2402775,0.048508879,1.7448078,0,0.093999997
2009-1,38.269188,81.251213,-10.322634,109.19777,1146.153,Guanajuato,8,42.599998,78.768578,197.02333,0.15745002,0.0576684,1.5260227,0.018979474,0.132
2009-1,1.6126728,-4.9696598,21.004801,17.647814,75.339996,Guerrero,1,44.200001,90.279579,204.07333,0.20112664,0.13313192,0.53546659,0.004408342,0.176
2009-1,1.868389,20.232515,3.154233,25.255136,294.05801,Hidalgo,3,41.5,83.78212,202.87,0.16715401,0.039121522,1.0980613,0.026587441,0.199
2009-1,81.196335,82.316261,237.85728,401.36987,3523.5879,Jalisco,43,40.900002,83.360832,228.38333,0.21668862,0.042122843,0.6982513,0.017699827,0.094999999
2009-1,7.7102652,6.1254301,24.461592,38.297287,308.59399,Michoacán,2,39.400002,84.094559,200.98666,0.15996715,0.10333968,1.0528732,0.027954415,0.15000001
2009-1,158.8625,7.0482922,-32.880344,133.03046,309.86401,Morelos,3,43.400002,90.957367,227.54333,0.24183959,0.12090389,2.6497161,0.05988697,0.1
2009-1,8.4184589,0.95100099,4.3516989,13.721159,10.299,Nayarit,1,41.599998,92.848007,184.71333,0.23722169,0.093083698,0.44121672,0.000930837,0.13699999
2009-1,523.22229,65.966225,106.39597,695.58447,3895.54,Nuevo León,16,43.200001,81.101021,269.67334,0.21605948,0.032057142,2.0369282,0.003032432,0.071999997
2009-1,24.431196,8.9971313,13.650632,47.07896,207.01801,Oaxaca,1,43.400002,93.080315,192.49001,0.15262887,0.081288868,0.84817485,0.040513747,0.22600001
2009-1,16.683565,27.720037,26.989035,71.392639,1425.175,Puebla,14,41.200001,82.445854,217.03999,0.17398755,0.058411406,0.97358122,0,0.19399999
2009-1,48.880005,39.747147,97.065491,185.69264,715.12799,Querétaro,6,43.200001,82.127663,267.73999,0.23825093,0.028292734,1.2115947,0.008876152,0.086999997
2009-1,46.12698,5.9864707,5.0345621,57.148014,8.9779997,Quintana Roo,0,45.5,88.013924,190.94,0.27958724,0.11555242,2.5095816,0.027918706,0.079000004
2009-1,34.50148,-40.293133,28.940493,23.14884,779.01398,San Luis Potosí,5,41.200001,80.912956,217.07666,0.17935516,0.055107364,1.5278711,0.041136485,0.19499999
2009-1,3.0800033,5.8689098,8.6050167,17.55393,53.438,Sinaloa,1,42.200001,89.983597,176.27667,0.2475376,0.14954501,1.2298296,0.005696953,0.090000004
2009-1,64.257614,-105.33285,367.79651,326.72125,1645.1071,Sonora,5,43.299999,74.568466,197.68333,0.25792259,0.085650208,0.94553322,0.002629612,0.071999997
2009-1,4.8257442,15.867022,4.0285511,24.721317,1233.014,Tabasco,1,44.599998,82.092819,212.02333,0.2457934,0.066230838,1.4705949,0.03694509,0.15800001
2009-1,132.29628,36.945148,99.241234,268.48267,4027.304,Tamaulipas,5,41.900002,91.062477,218.62,0.25868386,0.070295486,1.6189355,0.011002771,0.11
2009-1,11.819145,27.106895,-5.5223699,33.403671,142.94,Tlaxcala,0,41.700001,84.546921,201.59999,0.20923881,0.084357387,0.41920456,0,0.19700001
2009-1,115.95992,55.543461,63.763233,235.26662,907.94202,Veracruz,9,44.400002,88.907722,234.51334,0.19388282,0.037280057,0.49724244,0.016671012,0.169
2009-1,-0.40764597,4.2581267,5.9419088,9.7923899,210.17599,Yucatán,8,40.099998,85.767815,189.44333,0.19283208,0.034475663,0.94164867,0,0.20999999
2009-1,47.704388,-10.166283,4.3771238,41.91523,358.66699,Zacatecas,4,41.299999,78.705971,186.42667,0.14212957,0.045710658,0.78649225,0.002016647,0.13600001
2009-2,106.69386,20.132696,14.800356,141.62691,899.57703,Aguascalientes,2,44.400002,80.128525,211.08334,0.25743723,0.046877769,1.6364603,0.014489493,0.068999998
2009-2,80.043816,53.138592,32.22229,165.40469,6401.1821,Baja California,4,43.299999,88.258667,242.28667,0.26244837,0.050936214,5.3666523,0.02847366,0.044
2009-2,70.146767,11.270626,48.338547,129.75594,39.443001,Baja California Sur,0,41.700001,95.379753,225.49667,0.32417384,0.02883862,2.3487455,0.062483676,0.063000001
